effective,n_constituents,two_way_turnover,note
2010-09-17,410,,inception
2011-03-18,413,0.19367404108100025,review cutoff=2011-02-28
2011-09-16,408,0.1835603726434965,review cutoff=2011-08-31
2012-03-16,406,0.20551106335779007,review cutoff=2012-02-29
2012-09-21,408,0.21264626519361746,review cutoff=2012-08-31
2013-03-15,416,0.19252508072342056,review cutoff=2013-02-28
2013-09-20,418,0.17924681452795285,review cutoff=2013-08-30
2014-03-21,422,0.20582957514944633,review cutoff=2014-02-28
2014-09-19,424,0.20956150724850278,review cutoff=2014-08-29
2015-03-20,422,0.18935751932928868,review cutoff=2015-02-27
2015-09-18,422,0.1791500028088816,review cutoff=2015-08-31
2016-03-18,421,0.18488301365162665,review cutoff=2016-02-29
2016-09-16,428,0.20956263186740542,review cutoff=2016-08-31
2017-03-17,428,0.1998745823364891,review cutoff=2017-02-28
2017-09-15,430,0.17764659757917,review cutoff=2017-08-31
2018-03-16,428,0.1937986045234607,review cutoff=2018-02-28
2018-09-21,424,0.198612303333165,review cutoff=2018-08-31
2019-03-15,421,0.20025242737899393,review cutoff=2019-02-28
2019-09-20,422,0.19154647172665018,review cutoff=2019-08-30
2020-03-20,420,0.218745252391574,review cutoff=2020-02-28
2020-09-18,425,0.17420455256526765,review cutoff=2020-08-31
2021-03-19,424,0.18132053505748466,review cutoff=2021-02-26
2021-09-17,424,0.1865631024346457,review cutoff=2021-08-31
2022-03-18,422,0.18416212989044928,review cutoff=2022-02-28
2022-09-16,422,0.18578668983857277,review cutoff=2022-08-31
2023-03-17,419,0.18070612188763766,review cutoff=2023-02-28
2023-09-15,419,0.16754736299857448,review cutoff=2023-08-31
2024-03-15,414,0.19037532749336644,review cutoff=2024-02-29
2024-09-20,417,0.20863245986967005,review cutoff=2024-08-30
2025-03-21,409,0.2023035283887172,review cutoff=2025-02-28
